FIPS,Dems,Repub
1001,6091,17398
1003,19362,61192
1005,5685,5862
1007,2289,6247
1009,3518,20362
1011,4001,1389
1013,4174,5472
1015,16325,32326
1017,6782,8060
1019,2299,7285
1021,3666,13934
1023,3633,4220
1025,5907,7455
1027,1722,4946
1029,1166,5204
1031,5068,14909
1033,9698,14729
1035,3411,3461
1037,2269,3245
1039,3238,12431
1041,1938,4316
1043,5855,28837
1045,5257,13873
1047,13958,6791
1049,5654,17951
1051,8268,25695
1053,5176,9365
1055,13480,30562
1057,1988,5875
1059,3469,8048
1061,2106,9314
1063,4402,876
1065,4969,3196
1067,2990,5558
1069,12194,29205
1071,6367,14068
1073,166015,149843
1075,1614,5419
1077,13318,24050
1079,5159,9269
1081,21410,32344
1083,9530,23588
1085,5447,1807
1087,9444,1396
1089,64062,86910
1091,5925,5511
1093,2597,9530
1095,7021,25680
1097,81741,97670
1099,5023,6173
1101,61999,41972
1103,13882,35986
1105,4423,1676
1107,4584,5426
1109,5856,7981
1111,3062,7169
1113,10078,8700
1117,20575,68945
1115,6088,27630
1119,5218,1723
1121,13769,20109
1123,6052,13105
1125,32738,45351
1127,7418,20719
1129,3032,5592
1131,4553,1849
1133,1756,8099
4001,15141,8381
4003,17944,27590
4005,27064,19449
4007,7566,13425
4009,3487,8375
4011,1165,1711
4012,1794,3302
4013,542206,675027
4015,21286,42729
4017,14953,19199
4019,191465,168670
4021,42905,57714
4023,8680,4517
4025,34731,58043
4027,17679,23658
5001,2616,4184
5003,2883,5166
5005,6531,12841
5007,23412,50855
5009,4429,10559
5011,1673,2259
5013,690,1459
5015,4160,6070
5017,2927,1935
5019,4265,4608
5021,2245,3032
5023,2951,7962
5025,909,2443
5027,3496,5711
5029,3144,4687
5031,11279,18859
5033,5265,14746
5035,9361,7420
5037,2580,4393
5039,1470,1756
5041,2546,1977
5043,2598,3860
5045,14099,25310
5047,1868,4407
5049,1818,2700
5051,14987,25011
5053,1562,5022
5055,4541,8578
5057,2861,4252
5059,4216,7014
5061,1745,2956
5063,3551,8023
5065,1767,3141
5067,2220,3146
5069,18272,10614
